lat,lng,elevation
(28.71392703770303, 88.05468994560378),5154.91015625
(28.70553528846221, 88.04149928507083),4947.3857421875
(28.69714226010575, 88.02831074044065),4804.97900390625
(28.68874795328347, 88.01512431096053),4862.630859375
(28.68035236864495, 88.00193999587766),5072.74169921875
(28.67195550683961, 87.98875779443912),4776.22216796875
(28.6635573685166, 87.9755777058918),4579.1787109375
(28.65515795432489, 87.96239972948253),4434.51708984375
(28.64675726491318, 87.94922386445795),4370.234375
(28.63835530093001, 87.93605011006461),4316.14013671875
(28.62995206302365, 87.92287846554895),4288.27490234375
(28.62154755184219, 87.90970893015725),4271.19921875
(28.61314176803349, 87.8965415031357),4267.2861328125
(28.60473471224516, 87.88337618373028),4238.85498046875
(28.59632638512464, 87.87021297118699),4225.240234375
(28.58791678731912, 87.85705186475155),4207.5146484375
(28.57950591947557, 87.84389286366971),4195.15283203125
(28.57109378224077, 87.83073596718695),4205.21728515625
(28.56268037626124, 87.8175811745487),4200.70263671875
(28.55426570218332, 87.80442848500033),4176.923828125
(28.54584976065311, 87.79127789778694),4192.06787109375
(28.5374325523165, 87.77812941215363),4190.5859375
(28.52901407781915, 87.76498302734535),4222.7880859375
(28.5205943378065, 87.75183874260688),4185.7822265625
(28.5121733329238, 87.73869655718295),4257.46435546875
(28.50375106381605, 87.72555647031811),4649.046875
(28.49532753112804, 87.71241848125683),4331.1796875
(28.48690273550437, 87.69928258924347),4179.74755859375
(28.47847667758936, 87.68614879352222),4152.267578125
(28.47004935802717, 87.6730170933372),4168.33642578125
(28.46162077746173, 87.65988748793237),4170.66064453125
(28.45319093653671, 87.64675997655162),4171.4150390625
(28.44475983589562, 87.63363455843869),4160.322265625
(28.43632747618172, 87.6205112328372),4196.39892578125
(28.42789385803806, 87.60738999899068),4200.89404296875
(28.41945898210745, 87.59427085614253),4170.29150390625
(28.41102284903253, 87.58115380353605),4188.45849609375
(28.40258545945568, 87.56803884041437),4189.33984375
(28.39414681401906, 87.55492596602056),4264.62646484375
(28.38570691336465, 87.54181517959759),4374.23974609375
(28.37726575813419, 87.52870648038824),4264.37158203125
(28.36882334896918, 87.51559986763526),4336.01123046875
(28.36037968651095, 87.50249534058122),4333.984375
(28.35193477140057, 87.48939289846862),4486.5869140625
(28.34348860427891, 87.47629254053983),4277.09521484375
(28.33504118578662, 87.46319426603714),4229.0908203125
(28.32659251656414, 87.45009807420264),4265.39013671875
(28.31814259725168, 87.43700396427842),4329.11328125
(28.30969142848924, 87.4239119355064),4377.28173828125
(28.3012390109166, 87.41082198712839),4301.66552734375
(28.29278534517332, 87.3977341183861),3831.61474609375
(28.28433043189875, 87.38464832852111),3744.746337890625
(28.27587427173202, 87.37156461677495),3722.671142578125
(28.26741686531203, 87.35848298238895),3880.879150390625
(28.25895821327748, 87.34540342460443),4290.892578125
(28.25049831626686, 87.33232594266254),4699.69482421875
(28.2420371749184, 87.3192505358043),4042.749755859375
(28.23357478987016, 87.3061772032707),4902.0859375
(28.22511116175996, 87.29310594430258),5186.95458984375
(28.21664629122541, 87.28003675814065),5290.00244140625
(28.2081801789039, 87.26696964402556),5151.6748046875
(28.1997128254326, 87.25390460119782),4582.4443359375
(28.19124423144847, 87.24084162889785),4514.14794921875
(28.18277439758824, 87.22778072636598),4904.0712890625
(28.17430332448845, 87.21472189284238),4973.1748046875
(28.16583101278539, 87.2016651275672),5361.8134765625
(28.15735746311515, 87.1886104297804),5150.541015625
(28.1488826761136, 87.1755577987219),5074.783203125
(28.14040665241641, 87.16250723363147),5199.39501953125
(28.13192939265901, 87.14945873374883),5106.07177734375
(28.12345089747662, 87.13641229831356),5542.01806640625
(28.11497116750423, 87.12336792656514),5271.60693359375
(28.10649020337666, 87.11032561774294),5581.9609375
