lat,lng,elevation
(53.879647832073, 20.09498993169692),124.5875473022461
(53.88231311347922, 20.08777526467255),132.8973693847656
(53.88497796225478, 20.08055967778455),146.0308227539062
(53.88764237830226, 20.07334317097514),148.2592926025391
(53.89030636152422, 20.06612574418664),133.0728607177734
(53.89296991182319, 20.05890739736141),118.2381591796875
(53.89563302910174, 20.05168813044191),104
(53.89829571326236, 20.04446794337067),104
(53.90095796420759, 20.03724683609028),104
(53.90361978183992, 20.03002480854341),121.5101776123047
(53.90628116606183, 20.02280186067282),104
(53.90894211677581, 20.01557799242133),104
(53.91160263388429, 20.00835320373183),104
(53.91426271728974, 20.00112749454729),120.9792022705078
(53.91692236689459, 19.99390086481075),120.4572067260742
(53.91958158260127, 19.98667331446534),119.3794708251953
(53.92224036431217, 19.97944484345425),128.2211761474609
(53.9248987119297, 19.97221545172074),129.0070037841797
(53.92755662535625, 19.96498513920815),121.8137130737305
(53.93021410449418, 19.95775390585992),125.2865447998047
(53.93287114924585, 19.95052175161952),126.4159545898438
(53.93552775951363, 19.94328867643051),127.6109924316406
(53.93818393519982, 19.93605468023656),124.3024139404297
(53.94083967620675, 19.92881976298136),124.0830688476562
(53.94349498243674, 19.9215839246087),128.8172149658203
(53.94614985379209, 19.91434716506246),135.6952514648438
(53.94880429017507, 19.90710948428658),134.7520294189453
(53.95145829148794, 19.89987088222507),145.0120239257812
(53.95411185763297, 19.89263135882202),148
(53.95676498851243, 19.88539091402159),145.4689025878906
(53.95941768402852, 19.87814954776804),164.7673492431641
(53.96206994408347, 19.87090726000566),156.1061859130859
(53.96472176857949, 19.86366405067886),158.5788116455078
(53.96737315741876, 19.85641991973211),151.6911773681641
(53.97002411050349, 19.84917486710994),145.0005340576172
(53.97267462773584, 19.84192889275699),142
(53.97532470901796, 19.83468199661792),136.1717834472656
(53.97797435425199, 19.82743417863751),136.2203369140625
(53.98062356334008, 19.82018543876063),143.2037200927734
(53.98327233618434, 19.81293577693217),142.3562316894531
(53.98592067268689, 19.80568519309714),137.2393188476562
(53.9885685727498, 19.79843368720061),118.8022842407227
(53.99121603627518, 19.79118125918774),107.58935546875
(53.99386306316507, 19.78392790900373),103.0196380615234
(53.99650965332156, 19.77667363659389),105.131477355957
(53.99915580664667, 19.7694184419036),114.9589157104492
(54.00180152304245, 19.76216232487831),116.1763381958008
(54.0044468024109, 19.75490528546355),116.5939636230469
(54.00709164465405, 19.74764732360493),126.4720458984375
(54.00973604967388, 19.74038843924811),122.6452255249023
(54.01238001737238, 19.73312863233887),115.8962860107422
(54.01502354765152, 19.72586790282303),123.8791351318359
(54.01766664041325, 19.7186062506465),132.7478790283203
(54.02030929555954, 19.71134367575528),121.392204284668
(54.02295151299229, 19.70408017809542),101.1993408203125
(54.02559329261344, 19.69681575761306),94.96001434326172
(54.0282346343249, 19.68955041425442),83.02713012695312
(54.03087553802855, 19.68228414796579),60.05290603637695
(54.03351600362628, 19.67501695869354),70.9948959350586
(54.03615603101998, 19.66774884638412),69.33480072021484
(54.03879562011149, 19.66047981098405),59.97925567626953
(54.04143477080266, 19.65320985243994),48.07534790039062
(54.04407348299533, 19.64593897069845),44.7962532043457
(54.04671175659131, 19.63866716570634),42
(54.04934959149241, 19.63139443741045),40.07462310791016
(54.05198698760044, 19.62412078575768),28.55643081665039
(54.05462394481718, 19.61684621069503),21.38494491577148
(54.0572604630444, 19.60957071216954),17.21145248413086
(54.05989654218386, 19.60229429012837),10.69486045837402
(54.06253218213732, 19.59501694451873),6.297808170318604
(54.06516738280649, 19.58773867528792),4.980974197387695
(54.06780214409311, 19.5804594823833),4.027985572814941
(54.0704364658989, 19.57317936575233),1.973034143447876
(54.07307034812554, 19.56589832534255),1.894965171813965
(54.07570379067472, 19.55861636110154),1.274181962013245
(54.07833679344813, 19.551333472977),-0.6978726983070374
(54.08096935634742, 19.54404966091669),-1.743845105171204
(54.08360147927423, 19.53676492486845),-2.363243103027344
(54.08623316213022, 19.52947926478019),-3
(54.088864404817, 19.5221926805999),-2.051292896270752
(54.09149520723619, 19.51490517227567),-2.023513317108154
(54.09412556928938, 19.50761673975564),-2.151332139968872
(54.09675549087817, 19.50032738298804),-0.7050597071647644
(54.09938497190414, 19.49303710192119),-4.603560924530029
(54.10201401226885, 19.48574589650344),-3.066986322402954
(54.10464261187384, 19.47845376668329),-3
(54.10727077062067, 19.47116071240927),-3
(54.10989848841086, 19.46386673363001),-3
(54.11252576514592, 19.45657183029419),-1.934629440307617
(54.11515260072735, 19.44927600235059),-1.954527020454407
(54.11777899505665, 19.44197924974809),-1.443134546279907
(54.12040494803531, 19.43468157243559),-3.903239250183105
(54.12303045956479, 19.42738297036213),-2.17711877822876
(54.12565552954653, 19.42008344347679),-1.8807612657547
(54.12828015788199, 19.41278299172874),-2.053120136260986
(54.13090434447259, 19.40548161506723),-2.590287685394287
(54.13352808921975, 19.3981793134416),-2.054221153259277
(54.1361513920249, 19.39087608680125),-4.734907627105713
(54.1387742527894, 19.38357193509566),-3.652327060699463
(54.14139667141465, 19.37626685827441),-2.633057594299316
(54.14401864780202, 19.36896085628712),-2.495966911315918
(54.14664018185287, 19.36165392908354),-3.169764757156372
(54.14926127346854, 19.35434607661347),-3.116858720779419
(54.15188192255037, 19.34703729882677),-0.5084956884384155
(54.15450212899967, 19.33972759567343),-3.680064916610718
(54.15712189271778, 19.33241696710347),-3.550903081893921
(54.15974121360597, 19.32510541306703),-3
(54.16236009156552, 19.3177929335143),-3.34870433807373
(54.16497852649775, 19.31047952839556),-3.660980224609375
(54.16759651830387, 19.30316519766116),-1.727068543434143
(54.17021406688516, 19.29584994126155),-3
(54.17283117214285, 19.28853375914726),-2.548181056976318
(54.17544783397816, 19.28121665126886),-4.642786026000977
(54.17806405229233, 19.27389861757706),-1.691726088523865
(54.18067982698653, 19.26657965802259),-1.917290925979614
(54.18329515796196, 19.25925977255631),-1.011789798736572
(54.18591004511982, 19.25193896112913),-1.975563526153564
(54.18852448836125, 19.24461722369206),-2
(54.19113848758742, 19.23729456019615),-3.962988138198853
(54.19375204269947, 19.22997097059259),-1.425512790679932
(54.19636515359852, 19.2226464548326),-2.703287124633789
(54.1989778201857, 19.21532101286751),-2.896087408065796
(54.20159004236213, 19.20799464464872),-2.899821758270264
(54.20420182002887, 19.2006673501277),-2.647108316421509
(54.20681315308704, 19.19333912925602),-2.869040727615356
(54.2094240414377, 19.18600998198532),-3
(54.21203448498189, 19.17867990826732),-2.024139642715454
(54.21464448362067, 19.17134890805382),-3.984876871109009
(54.21725403725509, 19.16401698129671),-3
(54.21986314578616, 19.15668412794795),-3
(54.2224718091149, 19.14935034795959),-3.520325899124146
(54.2250800271423, 19.14201564128376),-3.10515570640564
(54.22768779976936, 19.13468000787265),-3.332285642623901
(54.23029512689706, 19.12734344767856),-2.893553495407104
(54.23290200842635, 19.12000596065386),-3.04590630531311
(54.23550844425819, 19.11266754675099),-3.961373567581177
(54.23811443429353, 19.10532820592249),-3
(54.24071997843328, 19.09798793812097),-4.156522274017334
(54.24332507657837, 19.09064674329912),-4.399191856384277
(54.24592972862972, 19.08330462140973),-4.98615026473999
(54.2485339344882, 19.07596157240564),-4.130611896514893
(54.25113769405471, 19.06861759623979),-4
(54.2537410072301, 19.0612726928652),-4.628400802612305
(54.25634387391526, 19.05392686223498),-4.353879451751709
(54.25894629401103, 19.04658010430231),-5
(54.26154826741822, 19.03923241902045),-4
(54.26414979403769, 19.03188380634274),-3.436069488525391
(54.26675087377022, 19.02453426622262),-4.961606979370117
(54.26935150651663, 19.01718379861359),-4.764677047729492
(54.2719516921777, 19.00983240346925),-3.709014415740967
(54.27455143065423, 19.00248008074327),-3.522250652313232
(54.27715072184695, 18.99512683038941),-3.555973529815674
(54.27974956565664, 18.9877726523615),-3.364232778549194
(54.28234796198404, 18.98041754661346),-2.399023056030273
(54.28494591072987, 18.97306151309929),-0.4279628694057465
(54.28754341179486, 18.9657045517731),1.340473771095276
(54.29014046507972, 18.95834666258902),0.02358860708773136
(54.29273707048512, 18.95098784550131),0.7137512564659119
(54.29533322791178, 18.94362810046433),3.617705345153809
(54.29792893726035, 18.93626742743245),2.251864671707153
(54.30052419843151, 18.9289058263602),3.486968755722046
(54.30311901132589, 18.92154329720214),4.082855701446533
(54.30571337584414, 18.91417983991294),1.73974621295929
(54.30830729188688, 18.90681545444734),2.906863451004028
(54.31090075935474, 18.89945014076017),3.40954327583313
(54.3134937781483, 18.89208389880634),1.328576922416687
(54.31608634816816, 18.88471672854085),0.586631715297699
(54.31867846931491, 18.87734862991876),2.064779281616211
(54.32127014148913, 18.86997960289524),2.733086585998535
(54.32386136459134, 18.86260964742553),2.756526470184326
(54.32645213852211, 18.85523876346495),1.362572908401489
(54.32904246318199, 18.84786695096892),2.542072296142578
(54.33163233847147, 18.84049420989292),2.105623483657837
(54.33422176429107, 18.83312054019253),0.6343556642532349
(54.33681074054131, 18.82574594182341),2.33564305305481
(54.33939926712266, 18.8183704147413),3.589942216873169
(54.3419873439356, 18.81099395890201),1.23402214050293
(54.34457497088061, 18.80361657426147),0
(54.34716214785813, 18.79623826077567),0
(54.34974887476859, 18.78885901840067),0
(54.35233515151245, 18.78147884709264),0.2202102392911911
(54.35492097799011, 18.77409774680783),3.579130411148071
(54.357506354102, 18.76671571750256),17.57341003417969
(54.36009127974849, 18.75933275913323),5.635537624359131
(54.36267575482997, 18.75194887165634),6.566554546356201
(54.36525977924686, 18.74456405502849),20.59744262695312
(54.36784335289946, 18.73717830920631),22.12629699707031
(54.37042647568815, 18.72979163414657),6.387069225311279
(54.37300914751327, 18.72240402980609),20.53676605224609
(54.37559136827514, 18.7150154961418),8.893593788146973
(54.3781731378741, 18.70762603311067),3.807669639587402
(54.38075445621044, 18.70023564066981),4.655662536621094
(54.38333532318445, 18.69284431877638),6.612242221832275
(54.38591573869642, 18.68545206738763),3.437141418457031
(54.38849570264664, 18.6780588864609),2.463712692260742
(54.39107521493533, 18.67066477595361),0
(54.39365427546279, 18.66326973582327),0.5299658179283142
(54.39623288412922, 18.65587376602747),7.902105331420898
(54.39881104083486, 18.64847686652388),2.785828113555908
(54.40138874547994, 18.64107903727026),1.539292216300964
(54.40396599796465, 18.63368027822447),4.239602088928223
(54.40654279818917, 18.62628058934441),3.465777397155762
(54.40911914605372, 18.61887997058813),4.214603424072266
(54.41169504145844, 18.61147842191371),3.412522554397583
(54.41427048430349, 18.60407594327934),3.886360883712769
(54.41684547448904, 18.59667253464328),7.753652095794678
(54.41942001191522, 18.5892681959639),11.33541584014893
(54.42199409648215, 18.58186292719964),9.858631134033203
(54.42456772808993, 18.57445672830903),11.80838394165039
(54.42714090663871, 18.56704959925066),20.3795337677002
(54.42971363202855, 18.55964153998324),29.02524185180664
(54.43228590415953, 18.55223255046556),81.38710021972656
(54.43485772293173, 18.54482263065648),120.4944610595703
(54.4374290882452, 18.53741178051494),114.8236312866211
(54.44, 18.53),138.4942474365234
