lat,lng,elevation
(48.76104119613215, 20.56246734646698),999.8514404296875
(48.75719602544849, 20.56692995696675),1243.7880859375
(48.75335068249348, 20.5713918843252),1061.520629882812
(48.7495051673168, 20.57585312870879),1096.3134765625
(48.74565947996815, 20.58031369028393),1217.072998046875
(48.74181362049718, 20.58477356921699),1004.799621582031
(48.73796758895352, 20.58923276567431),864.798828125
(48.73412138538681, 20.59369127982219),774.2764282226562
(48.73027500984664, 20.59814911182688),769.0875854492188
(48.72642846238261, 20.60260626185462),852.4223022460938
(48.72258174304429, 20.60706273007159),777.9649658203125
(48.71873485188125, 20.61151851664393),783.1138916015625
(48.71488778894304, 20.61597362173778),805.32958984375
(48.71104055427918, 20.62042804551919),698.8529663085938
(48.70719314793917, 20.62488178815421),646.9649047851562
(48.70334556997253, 20.62933484980885),735.9112548828125
(48.69949782042872, 20.63378723064905),722.6739501953125
(48.69564989935721, 20.63823893084075),848.4521484375
(48.69180180680746, 20.64268995054984),819.411376953125
(48.68795354282889, 20.64714028994217),868.4285888671875
(48.68410510747091, 20.65158994918356),942.4375
(48.68025650078294, 20.65603892843977),882.7345581054688
(48.67640772281435, 20.66048722787656),774.35205078125
(48.6725587736145, 20.66493484765962),758.4088134765625
(48.66870965323276, 20.66938178795462),839.0548095703125
(48.66486036171847, 20.6738280489272),766.2616577148438
(48.66101089912092, 20.67827363074292),631.9705200195312
(48.65716126548944, 20.68271853356736),541.8123168945312
(48.65331146087333, 20.68716275756603),537.7992553710938
(48.64946148532182, 20.69160630290441),521.3328247070312
(48.64561133888419, 20.69604916974793),484.7731628417969
(48.6417610216097, 20.700491358262),449.6930847167969
(48.63791053354754, 20.704932868612),507.5508117675781
(48.63405987474694, 20.70937370096325),482.9684753417969
(48.63020904525708, 20.71381385548105),547.2611694335938
(48.62635804512715, 20.71825333233064),623.3727416992188
(48.6225068744063, 20.72269213167725),679.268310546875
(48.61865553314369, 20.72713025368605),776.3956909179688
(48.61480402138842, 20.7315676985222),738.126220703125
(48.61095233918963, 20.7360044663508),455.1963806152344
(48.60710048659641, 20.74044055733691),267.5156860351562
(48.60324846365784, 20.74487597164558),199.4263305664062
(48.59939627042298, 20.74931070944179),193.6257629394531
(48.59554390694089, 20.7537447708905),186
(48.59169137326059, 20.75817815615664),187.0445404052734
(48.58783866943111, 20.76261086540508),192.9657287597656
(48.58398579550146, 20.76704289880067),192.95361328125
(48.5801327515206, 20.77147425650823),298.0885620117188
(48.57627953753752, 20.77590493869252),445.4696655273438
(48.57242615360116, 20.78033494551827),465.9084777832031
(48.56857259976048, 20.78476427715019),351.6137390136719
(48.56471887606438, 20.78919293375293),177.7071990966797
(48.56086498256179, 20.79362091549112),160.9427490234375
(48.55701091930158, 20.79804822252934),159.9559173583984
(48.55315668633263, 20.80247485503214),160.4406127929688
(48.5493022837038, 20.80690081316403),161.122802734375
(48.54544771146394, 20.81132609708949),161.9385681152344
(48.54159296966189, 20.81575070697296),174.8533020019531
(48.53773805834643, 20.82017464297882),262.7325439453125
(48.53388297756637, 20.82459790527144),239.1048126220703
(48.5300277273705, 20.82902049401516),225.7729339599609
(48.52617230780758, 20.83344240937426),223.7173919677734
(48.52231671892635, 20.83786365151298),267.552490234375
(48.51846096077556, 20.84228422059555),280.0826721191406
(48.5146050334039, 20.84670411678614),265.3537292480469
(48.5107489368601, 20.85112334024888),240.2858123779297
(48.50689267119284, 20.85554189114789),266.1462097167969
(48.50303623645078, 20.85995976964723),253.9368286132812
(48.49917963268258, 20.86437697591091),219.4435729980469
(48.49532285993687, 20.86879351010294),245.0352630615234
(48.49146591826229, 20.87320937238727),268.1185607910156
(48.48760880770745, 20.87762456292782),254.1833648681641
(48.4837515283209, 20.88203908188846),245.5878143310547
(48.47989408015126, 20.88645292943303),209.4949645996094
(48.47603646324709, 20.89086610572535),197.9317474365234
(48.47217867765691, 20.89527861092919),218.3970642089844
(48.46832072342924, 20.89969044520826),236.0738372802734
(48.46446260061263, 20.90410160872626),206.6806793212891
(48.46060430925556, 20.90851210164686),199.8407745361328
(48.45674584940651, 20.91292192413367),185.7489776611328
(48.45288722111393, 20.91733107635027),219.3695831298828
(48.44902842442631, 20.92173955846021),241.5434875488281
(48.44516945939204, 20.92614737062701),248.0511627197266
(48.44131032605957, 20.93055451301411),215.8721618652344
(48.4374510244773, 20.93496098578497),209.4041595458984
(48.43359155469361, 20.93936678910298),232.0426025390625
(48.42973191675686, 20.9437719231315),246.3992767333984
(48.42587211071543, 20.94817638803385),245.3845977783203
(48.42201213661764, 20.95258018397331),273.4065551757812
(48.41815199451183, 20.95698331111315),277.3652648925781
(48.41429168444631, 20.96138576961655),284.9610290527344
(48.41043120646935, 20.96578755964672),295.6836853027344
(48.40657056062927, 20.97018868136677),250.1189727783203
(48.4027097469743, 20.97458913493981),235.3137054443359
(48.39884876555269, 20.97898892052891),252.3915405273438
(48.39498761641268, 20.98338803829708),236.3200988769531
(48.39112629960249, 20.98778648840732),213.9997100830078
(48.38726481517031, 20.99218427102258),276.1836242675781
(48.38340316316432, 20.99658138630577),274.1565551757812
(48.3795413436327, 21.00097783441978),251.5781402587891
(48.37567935662362, 21.00537361552744),219.0244445800781
(48.37181720218517, 21.00976872979156),233.4902038574219
(48.36795488036551, 21.0141631773749),218.4518585205078
(48.36409239121274, 21.01855695844019),188.8941192626953
(48.36022973477496, 21.02295007315014),169.1708526611328
(48.35636691110022, 21.02734252166738),153.7311553955078
(48.3525039202366, 21.03173430415455),178.9030303955078
(48.34864076223214, 21.03612542077422),242.5817718505859
(48.34477743713486, 21.04051587168893),255.7909698486328
(48.34091394499279, 21.0449056570612),262.3142700195312
(48.33705028585391, 21.04929477705349),234.2121124267578
(48.33318645976622, 21.05368323182824),201.0342864990234
(48.32932246677769, 21.05807102154785),189.0055847167969
(48.32545830693624, 21.06245814637467),162.865234375
(48.32159398028985, 21.06684460647104),158.8979034423828
(48.31772948688641, 21.07123040199922),156
(48.31386482677382, 21.07561553312147),141.9900817871094
(48.31, 21.08),127.9884719848633
